full_name,a,e,i,om,w,q,ad,per_y,H,neo,pha,rot_per
195900 Rogersudbury (2002 RS41),3.23703161691859,0.1155898619357122,6.738936801083306,117.208160037361,240.0843363810664,2.862863579237435,3.611199654599745,5.82409719689547,15.11,N,N,
 73544 (2003 OZ30),3.12766169174627,0.2052586462913639,10.33193772154109,311.3906480949327,334.9839892620417,2.485682086841073,3.769641296651467,5.53143557471255,14.24,N,N,
154595 (2003 OZ),2.294363897305992,0.2555675846895604,23.57325583333492,211.9139541741116,138.1866403957301,1.707998857672573,2.880728936939411,3.47537483941208,15.94,N,N,
176568 (2002 AU188),3.20264387434507,0.1088731286088644,17.47607738155144,136.3362862123233,169.9977177382441,2.853962015925108,3.551325732765033,5.73153799400073,14.92,N,N,
 26185 (1996 NG),3.144187272132413,0.1516431008884064,6.284136946222682,107.3358839965095,247.755387673815,2.667392964412394,3.620981579852432,5.57533298041236,13.72,N,N,
 70706 (1999 UM41),2.662971912657288,0.02617407529994635,3.901557135572552,351.7226105022798,128.0608134875466,2.593271085293754,2.732672740020822,4.34568337873156,15.69,N,N,
 63095 (2000 WS142),2.70790827389603,0.1101325292852457,15.64855396029862,179.0060269625706,141.7954290919461,2.409679486619416,3.006137061172644,4.45614307151714,15.04,N,N,25.2547
 24537 (2001 CB35),5.17108678578403,0.08260245734108479,18.27743025876474,34.87651604962677,14.99077411126154,4.743942310154257,5.598231261413803,11.7592857029202,11.18,N,N,10.489
 63438 (2001 MY28),2.602662455821068,0.189838078000047,12.54742639181278,113.0479994677318,262.6939220550123,2.108578017525114,3.096746894117022,4.19889460022888,15.07,N,N,
140610 (2001 UG5),2.347601307802263,0.2268744840798785,24.73611757807321,227.5558697654035,211.2965642715725,1.814990472269376,2.880212143335149,3.59703543735082,15.27,N,N,
       (2010 AD20),3.113696727938864,0.158656098122795,3.044639893534562,73.80594781885357,23.38837096477479,2.61968975434637,3.607703701531358,5.49443029007657,17.3,N,N,
197860 (2004 QO25),2.54998487390751,0.06594824752060818,21.53402985484163,292.7977913732499,112.0207870058927,2.381817840269251,2.718151907545769,4.07206412713154,15.34,N,N,
158720 (2003 JF17),2.559099042262873,0.3026932459109551,14.08578862559534,71.8591659746739,262.7104035859322,1.784477046552707,3.333721037973038,4.09391521032035,15.62,N,N,
204883 (2007 TR128),3.117755647815408,0.1226130644217416,0.8508023065683962,37.01830378065984,216.1035204897963,2.735478073718569,3.500033221912247,5.50517734762193,16.01,N,N,
249072 (2007 UE84),3.056885160656513,0.04771277285512152,7.29756503903171,52.07147580027667,170.0206893852739,2.911032693341917,3.202737627971108,5.34474374651825,15.76,N,N,
 99006 (2001 DR52),2.572909684309229,0.08905080781938847,14.39289644660897,112.0075849728962,28.19325061779726,2.343789998475164,2.802029370143293,4.12710021586989,15.06,N,N,
  9352 (1991 UB4),2.650376417158221,0.1264276299674511,3.745683434881157,189.269656792452,325.5671403781154,2.315295608215282,2.985457226101159,4.31488812668955,13.24,N,N,
       (2010 OJ41),2.714490431758202,0.3421114869716383,10.58168245432434,121.1078284598176,246.4700850661003,1.785832073779119,3.643148789737285,4.47240037281625,17.2,N,N,
 20189 (1997 BS2),2.606345385775138,0.1728860623209312,3.396951732864625,358.0681084133697,97.88479318461212,2.155744594980146,3.05694617657013,4.20781029966248,15.09,N,N,
132505 (2002 JY35),2.628780715014033,0.1251726355746669,13.5330237768262,219.0816742265336,290.2719271773301,2.299729304567869,2.957832125460197,4.26225807652497,15.49,N,N,
249128 (2007 YS23),3.061075309447492,0.03355979451613909,10.58118257831536,41.20790514541555,64.9555458792226,2.958346251064008,3.163804367830977,5.35573677196273,15.82,N,N,
 50860 (2000 FD65),2.635165996236277,0.1867285190932126,13.70531949850877,7.071147753667223,6.777279554494153,2.143105352194287,3.127226640278268,4.27779697425084,14.41,N,N,
  7075 Sadovnichij (1979 SN4),2.677534689588077,0.1738990384176469,12.56024868716565,176.0762848581184,165.525918756272,2.211913981738818,3.143155397437337,4.38137939527596,12.63,N,N,
227640 (2006 BT98),2.743750331922845,0.1806594779085695,3.341260663903192,206.8211686755252,299.590033629827,2.248065829446199,3.23943483439949,4.5449079056145,16.75,N,N,
396407 (2014 EJ7),2.638288096291601,0.1657754466609097,13.29423988754669,356.7212752129611,156.8988842704727,2.2009247087087,3.075651483874502,4.28540161774184,17.1,N,N,
422071 (2014 QV380),3.07271210668757,0.02460042437181831,10.59938471587876,196.5265061957336,284.8646883528584,2.997122084890632,3.148302128484508,5.3863058419102,15.82,N,N,
206227 (2002 VY103),3.083660139398219,0.2587777247421316,11.4890003276647,256.4375608477617,179.7249730595388,2.285677584646743,3.881642694149694,5.41511847364681,15.06,N,N,
258233 (2001 TP110),2.640623718682369,0.272263235350117,5.200517198380375,257.1621271206355,178.5002794061822,1.92167896169165,3.359568475673088,4.2910935443746,16.06,N,N,
       (2018 GS12),2.663752714889362,0.1488156768674574,16.83320080041816,197.2607499189455,38.43557930739234,2.267344551615574,3.060160878163149,4.34759479655878,16.8,N,N,
 10392 Brace (1997 RP7),2.402597660431152,0.1349372122532326,4.484961727533945,264.5068048480924,79.89983203256804,2.078397829966434,2.726797490895871,3.72417239839184,14.12,N,N,
269324 (2008 SL219),3.04109827941854,0.04499376362041455,14.08979721750412,357.674335704226,214.943485491482,2.904267822287933,3.177928736549147,5.30339390928309,15.84,N,N,
 11017 Billputnam (1983 BD),2.761925323694972,0.1570436470468751,15.18514304818611,115.1216244624546,259.1373478015466,2.328182497990793,3.195668149399151,4.59014178136611,12.39,N,N,6.749
330759 (2008 SO218),8.124274508662962,0.5623073031778036,170.3442491430915,348.4547247609297,354.5674958494172,3.555935619420517,12.69261339790541,23.1571487901178,12.8,N,N,
422332 (2014 SA215),2.997091136831832,0.1619826278060491,6.917670180337273,173.9820490661422,283.5517160970489,2.511614438713593,3.482567834950071,5.18869480165977,16.22,N,N,
       (2010 KS11),3.114683340285232,0.2893466181206023,27.84547448340798,295.56984907,118.7438349844845,2.213460249257119,4.015906431313345,5.49704196164995,,N,N,
204082 (2003 WK32),2.769303139130119,0.05126643631302181,2.985379141780563,285.9522625907769,135.0131283757481,2.627330836116454,2.911275442143785,4.60854623869515,15.94,N,N,
119017 (2001 AE27),3.046512094688064,0.1147806197060513,10.06158828009965,62.6585591609858,8.911319743188523,2.696831548517788,3.396192640858341,5.31756199925421,14.6,N,N,
279233 (2009 UT139),3.109629571520283,0.1001351094023121,8.693643016606167,343.6207513368809,41.9487016192207,2.798246474175434,3.421012668865132,5.48366844793981,15.75,N,N,
343602 (2010 GU110),2.982590100368669,0.0666135885386781,12.30257508613047,18.35347066440212,28.31525925277823,2.783909070643176,3.181271130094162,5.15108314886435,16.63,N,N,
171045 (2005 ES96),2.74615397589859,0.1770882394431686,9.496776590807942,204.669332222724,355.8554097120278,2.25984240306685,3.232465548730329,4.55088151730577,15.99,N,N,
246935 (1999 RB8),2.356916922647372,0.1124801657867973,8.870670095342245,8.680986333478199,34.94639659649771,2.091810516442287,2.622023328852456,3.61846698305503,17.0,N,N,
 80649 (2000 AF239),2.453299690530896,0.1995546489821323,2.904801146123245,116.8736737183645,272.8226804228365,1.963732331939029,2.942867049122763,3.84267901202344,16.1,N,N,
 27043 (1998 RS71),2.194772078947715,0.1336283405789679,5.853298375954402,23.75765737148319,285.7581069128018,1.90148832808888,2.488055829806549,3.25156426679582,15.11,N,N,
       (2010 DS32),3.118735521807422,0.1167829085651466,29.02771916774286,106.5111493376404,324.626641446086,2.754520516525311,3.482950527089533,5.50777287043023,16.63,N,N,
       (2014 QQ21),3.110394221637268,0.1280016563069621,7.848785921813628,220.8712223204303,178.8268848476862,2.712258609500093,3.508529833774442,5.48569120276349,16.8,N,N,
243821 (2000 SB344),3.138573627470519,0.1349619056832166,17.67831577516761,3.871425105818257,295.7615215471359,2.714985749580011,3.562161505361026,5.56040831396122,15.28,N,N,
  7790 Miselli (1995 DK2),3.133723749167598,0.09136398499650174,7.229478787157968,78.36288925754224,48.84537752658723,2.847414259565469,3.420033238769728,5.54752496963762,13.56,N,N,2.708
  6368 Richardmenendez (1983 RM3),2.227760458993212,0.1451202564505209,6.747050809092,316.5851974637231,130.1828940013556,1.904467289873787,2.551053628112637,3.32514768599498,13.66,N,N,
  6733 (1992 EF),3.015471583288195,0.04306802183656094,9.175869136267394,271.289800975467,284.1238971734446,2.88560118729161,3.14534197928478,5.2364994535823,12.11,N,N,11.357
  8948 (1997 CW27),2.428569904320973,0.1991407539161549,1.591846624175091,290.5217390677313,80.97084580526156,1.94494266263641,2.912197146005536,3.78472313954371,14.19,N,N,
429255 (2010 BY68),3.194799554866364,0.07535664805401868,14.17091014573811,346.2495882801798,270.8210346019031,2.954050169207164,3.435548940525564,5.71049328443832,16.0,N,N,
 64544 (2001 VD121),3.100856077539425,0.2142206332271578,17.27194620277439,176.3168638963354,265.9251328770337,2.436588725062649,3.765123430016201,5.46047743110678,14.77,N,N,160.896
       (2010 PA14),3.231445683504781,0.04475059726208446,14.24182831626132,142.9643100327212,275.5799872121327,3.086836559147957,3.376054807861605,5.80902830790009,16.07,N,N,
343335 (2010 CN32),3.221854984546655,0.06529132974349959,6.431745812771628,173.9514494222889,38.27014220298339,3.011495788364881,3.432214180728428,5.78318633702642,15.97,N,N,
449692 (2014 LS20),2.736268220850687,0.1309760811182849,7.211438158847804,168.1754169945983,166.5576583019228,2.377882532395163,3.094653909306212,4.52632987838075,16.81,N,N,
 14891 (1991 VY4),2.460956444998919,0.1501933826042127,3.731735976491314,98.40510972265363,333.9243915896606,2.091337072082893,2.830575817914946,3.8606825572683,14.25,N,N,
 28115 (1998 SN50),2.372823374046121,0.1540456491751292,1.428335275311298,252.5731464158495,240.9397759416358,2.007300257013266,2.738346491078976,3.65515939064407,15.34,N,N,
424392 (2007 YJ),1.103876094781365,0.2799542223248097,3.305385873117745,29.12070340627546,199.0042231837514,0.7948413211239003,1.41291086843883,1.15981492997213,21.9,Y,N,
115313 (2003 SX215),3.240863446861364,0.1441953763285887,2.673425132254819,109.7686817487097,259.7675752889368,2.773545922511623,3.708180971211106,5.83444165245527,14.82,N,N,
 38803 (2000 RH62),2.391999645719845,0.1915344012043901,2.247475594918983,186.8143793893553,102.0406145300347,1.933849425895782,2.850149865543909,3.69955824166202,14.66,N,N,
248896 (2006 UE270),3.122801542823312,0.1732396709684998,2.192640816242832,217.643465153207,17.86669548219161,2.581808431044678,3.663794654601946,5.51854743806727,15.85,N,N,8.5
258715 (2002 GX78),3.351962555488067,0.09674139272421906,16.06210535590947,86.6605714061871,121.9079381028216,3.027689029510718,3.676236081465415,6.13701154151908,14.91,N,N,
